company,location,description
"OdekoNew York, NY, USA",Our operations software makes it easier to run--and grow--your cafe,SUMMER 2019
"GitPrimeDurango, CO, USA",Visibility and analytics for software development leaders.,WINTER 2016
"ProxySan Francisco, CA, USA",Smart ring digital wallet,SUMMER 2016
"FutureAdvisorSan Francisco, CA, USA",The online financial management service for everyone.,SUMMER 2010
"PodiumLehi, UT, USA",Get more leads. Make more money.,WINTER 2016
"RappiBogotá, Bogota, Colombia",On-demand delivery and financial services for Latin America.,WINTER 2016
"RazorpayBengaluru, KA, India",India's only full-stack financial solutions company for businesses.,WINTER 2015
"RipplingSan Francisco, CA, USA","One place to run all your HR, IT, and Finance. Globally.",WINTER 2017
"Scale AISan Francisco, CA, USA",Data-centric infrastructure to accelerate the development of AI,SUMMER 2016
"ScentbirdNew York, NY, USA",Scentbird is a luxury fragrance subscription service.,SUMMER 2015
"ScribdSan Francisco, CA, USA",World's largest online library.,SUMMER 2006
"ShipBobChicago, IL, USA",Providing Amazon level logistics to e-commerce businesses.,SUMMER 2014
"SmartAssetNew York, NY, USA",Marketplace connecting consumers to financial advisors,SUMMER 2012
"StripeSan Francisco, CA, USA",Economic infrastructure for the internet.,SUMMER 2009
"WaveDakar, Dakar Region, Senegal",Mobile money app for Africa,WINTER 2012
"WebflowSan Francisco, CA, USA",Professional website design and publishing platform.,SUMMER 2013
"WhatnotLos Angeles, CA, USA",Whatnot is the largest livestream shopping platform in the U.S.,WINTER 2020
"ZapierMountain View, CA, USA",The easiest way to automate your work.,SUMMER 2012
"ZeptoMH, India",10-Minute Grocery Delivery in India,WINTER 2021
"Focal SystemsNew York, NY, USA",Building the Operating System for B&M Retail using Deep Learning,WINTER 2016
"MioAustin, TX, USA",Mio powers seamless communication between workplace chat apps.,WINTER 2016
"DailySan Francisco, CA, USA",Conversational Voice and Multimodal AI built with Open Source,WINTER 2016
"PetcubeSan Francisco, CA, USA",Petcube is on the mission to improve lives of pets and pet owners…,WINTER 2016
"OutschoolSan Francisco, CA, USA",A live online learning platform that empowers kids ages 3–18.,WINTER 2016
"MasonSeattle, WA, USA",Mason is the fastest way to take smart devices from idea to end user,WINTER 2016
"MagicBusLos Angeles, CA, USA",We make vanpool simple.,WINTER 2016
"TovalaChicago, IL, USA",A smart-oven-paired subscription meal service.,WINTER 2016
"iSono HealthSan Francisco, CA, USA",AI-powered platform for Accessible and Personalized Breast Health…,WINTER 2016
"GetAcceptSan Francisco, CA, USA",Close deals faster. Digitally.,WINTER 2016
"ChatfuelSan Francisco, CA, USA",Platform to easily create chatbots to engage with audiences on…,WINTER 2016
"YardbookSan Mateo, CA, USA",Marketplace & Software Revolutionizing Yard Care,WINTER 2016
"GoCardlessLondon, England, United Kingdom",We’re building the world’s bank payment network.,SUMMER 2011
"Stealth WorkerMenlo Park, CA, USA","Information Security (Cyber Security), Compliance and Privacy (GDPR &…",WINTER 2016
"DeepgramSan Francisco, CA, USA",Building foundational AI for speech transcription and understanding.,WINTER 2016
"SOUNDBOKSCopenhagen, Denmark",We're creating the loudest battery-driven speaker on the market,WINTER 2016
"LatticeSan Francisco, CA, USA",Modern people management platform.,WINTER 2016
"MuxSan Francisco, CA, USA",Video infrastructure for developers,WINTER 2016
"Human InterestSan Francisco, CA, USA",The 401(k) for small and medium-sized businesses.,SUMMER 2015
"Flirtey (SkyDrop)Reno, NV, USA",Flirtey is the world’s first commercial drone delivery service and…,SUMMER 2015
"Eight SleepNew York, NY, USA",The sleep fitness company.,SUMMER 2015
"InstaworkSan Francisco, CA, USA",A flexible work app that connects businesses with hourly workers.,SUMMER 2015
"Cofactor GenomicsSt. Louis, MO, USA",Cofactor closes the precision medicine gap with predictive diagnostics,SUMMER 2015
"Click & GrowPalo Alto, CA, USA",Click & Grow makes indoor urban gardens and farms that take complete…,SUMMER 2015
"BitmovinSan Francisco, CA, USA",Powers OTT online video providers with video developer tools.,SUMMER 2015
"TetraScienceBoston, MA, USA",The only R&D data cloud for life sciences,SUMMER 2015
"The Ticket FairyLos Angeles, CA, USA",Revenue generation for live events,SUMMER 2015
"Font AwesomeBentonville, AR, USA",Icons and social logos for your website.,SUMMER 2015
"80,000 HoursLondon, England, United Kingdom",An online guide that tells talented graduates how to maximise the…,SUMMER 2015
"XenditJakarta, Jakarta, Indonesia",Provides payment infrastructure for Southeast Asia,SUMMER 2015
"Shred VideoSan Francisco, CA, USA",Shred Video builds automated video & photo systems that allow…,SUMMER 2015
